GeneSymbol	A1	B1	C1	D1	E1	A2	B2	C2	D2	E2
linc-TSHZ2-1	8.511419	7.236217	8.319487	8.879033	8.1585655	7.503603	6.2800903	7.52387	6.8585367	7.558751
SLC22A3	5.266459	4.4372544	4.7870045	4.286484	4.819542	4.121163	4.7143435	3.7863154	2.6747506	3.2360504
ABLIM1	8.21361	8.611981	9.064106	8.693976	8.926923	7.451821	7.6378126	7.950288	7.4090667	7.957116
TNFAIP6	16.012735	15.566744	15.832549	15.226059	15.3219185	13.812944	14.066203	13.763935	13.100313	13.648535
linc-DHX37-4	3.3286304	3.4746294	3.9823413	4.1898603	4.552531	5.362178	5.302664	5.8884034	5.6307893	5.6420455
CCL3	9.336225	7.4723086	7.413726	7.2775383	7.590815	6.5145807	5.1489124	6.0187	6.7803316	5.423016
PLEKHA2	4.217515	4.6809187	3.7227762	3.6620424	4.635729	1.7127155	3.3993223	1.6045896	2.2577689	3.4015296
MX1	10.481602	11.875156	10.755429	9.967385	10.535352	10.958091	12.355806	11.810415	12.221817	12.422699
PTPN13	6.4188805	6.1744013	6.9917192	6.056365	6.6967897	5.0849514	5.4421854	5.7427397	4.365594	5.543682
WDR69	5.9313545	7.1426144	7.306747	5.8085093	7.2436175	4.640612	6.404928	6.2509646	4.2440414	6.1953883
LINC00968-003	8.591158	9.518391	9.61087	9.006604	9.500703	7.424423	8.134292	7.8576555	7.619662	8.0680485
ICOSLG	5.8625855	5.2953606	5.225443	6.0061245	5.808906	6.6733437	6.535382	6.681597	7.2532535	6.6817126
CCL4	10.423444	8.163191	7.00716	6.7175484	8.246809	7.7348695	6.0916033	5.9425654	6.733449	5.254642
CTSC	4.818555	5.2365456	8.471063	7.493073	5.309537	3.6112823	4.305368	7.195912	6.2967196	3.802769
AC003991.3-003	9.993431	8.868671	10.240916	7.2463293	9.471345	7.5085483	7.843979	7.1877446	5.5763392	7.2254853
CXCL6	16.455881	16.347628	16.644268	16.089603	16.720682	15.571148	15.507912	15.455515	14.465464	15.7802925
RP11-442H21.2-001	7.42367	6.853517	6.8643746	6.6810393	7.5027227	6.1412477	5.8169546	5.9853725	5.9104843	6.13766
GAS1	11.651929	11.386599	11.357031	11.523024	10.990143	9.2560425	9.488547	9.16103	8.648888	8.880551
RP11-624J12.1-001	5.886185	5.5017986	5.665225	6.7261477	5.979387	4.4965177	4.6658816	4.693735	4.7721186	5.3307514
HCST	6.4654694	6.5459714	6.32819	6.4086456	6.457507	7.483426	7.104955	7.2569275	8.052107	7.3789315
DACT2	10.781547	10.248648	9.286308	7.878147	9.73998	9.667356	9.077868	7.9479656	6.650417	8.69229
RP1-197B17.3-004	1.3064399	1.4101921	2.1630645	3.5011854	3.3638132	4.4865193	3.9115212	3.4271336	4.775337	4.4550886
linc-ZNF366-5	3.134873	3.4312153	3.7429032	3.5949903	3.8806713	5.4829297	4.864511	4.5818152	5.4526253	4.5860415
PHLDA2	7.9554935	7.5572596	7.5644484	8.032634	7.55906	9.904622	8.984818	9.4778185	10.004402	8.911881
GPR64	5.810221	4.0765424	4.4167404	3.7617517	4.5055513	4.8528852	3.6678412	3.3730762	1.3427044	3.9146988
CCR7	5.5998545	5.128017	5.6793876	5.4960766	5.7438717	5.0015297	3.8152878	4.5442038	4.3163466	4.2669153
PRKD1	4.7353897	5.5990524	5.419009	5.4035826	5.255287	3.4455886	4.952328	4.176504	4.4130235	4.036236
LRRC34	4.283738	4.590645	4.3206973	4.3929057	4.813611	2.4317625	4.0164948	2.8755445	3.6404865	3.3769448
CCL26	5.0196714	5.9675817	5.0741014	4.3413777	4.413666	3.131355	4.182692	4.48985	4.078098	2.9532578
LOC100130476	2.9856973	3.2998254	3.888687	3.3265457	2.214169	5.4819193	5.3453317	5.8930225	5.9013023	5.151625
FAM117B	5.2558765	4.85818	5.105772	4.7270904	5.2550807	2.3294344	3.9241505	4.0617123	3.8672063	3.8631098
HIST2H2BE	7.3047934	6.5940285	6.98746	6.6363244	6.6491365	8.1521845	7.9943676	8.234983	8.093667	7.8220606
NXN	6.3162456	5.7237015	4.999295	5.846098	4.7841687	7.9757886	7.349348	5.9538865	7.67348	5.8178177
FR108880	4.715831	4.5566273	5.485701	5.1056757	5.668468	6.401955	6.4268346	7.3366776	6.9516296	7.047803
SLC1A2	3.7662327	4.1488585	4.568854	5.5112157	4.7175217	2.059532	3.0921073	3.3777115	4.472766	3.7412746
LOC101927373	6.443723	6.5827723	7.236217	6.9603252	7.3716893	8.11387	8.410827	8.176488	8.107036	8.305086
SPTLC3	4.4517307	4.460508	5.622078	5.4730616	5.811879	3.802769	4.3032804	4.019619	3.8541255	4.6417384
NOD2	5.8834267	4.616784	5.2947974	4.533879	6.412047	5.811089	6.028401	6.850749	6.7783484	7.411736
RP5-1148A21.3-001	5.5481176	5.4759827	5.663454	5.12172	5.7080774	6.7418423	6.722457	7.0714626	7.2691984	6.6631866
FR324997	4.6847973	3.917986	4.1746044	4.739616	3.8581755	3.5087483	3.2810028	3.2724662	2.6861887	3.5477223
THBS1	12.595501	12.893697	12.066172	10.827249	12.06815	10.341124	10.694914	10.087677	10.003626	10.303529
MT1E	13.356706	12.943051	12.893697	12.946089	13.329668	14.351719	14.237743	13.924143	14.243304	14.111173
AC026806.2-001	6.1720705	5.993132	5.664912	5.0083785	6.100828	3.5491333	4.7512555	5.188668	4.2672095	5.11918
ZNF503	9.382223	9.17413	8.625718	8.609742	8.736507	8.427429	8.49963	7.487798	7.199031	7.7262626
NRXN2	7.1537457	7.044975	6.638251	5.8558702	7.2268863	5.845982	6.1046877	5.7670918	4.7429457	6.387628
APBB1IP	9.61087	10.011513	10.045132	9.656767	9.599461	8.204102	8.794706	8.38241	7.707206	8.422443
DDX60L	7.615644	7.862628	7.4399548	7.2471275	7.545252	8.236536	9.149096	8.661459	8.61845	9.011604
FABP5	6.0138063	6.518269	6.1074214	6.270601	6.175231	4.7260566	4.83784	4.8359513	5.4332905	5.424866
TMEM71	4.7646217	4.055569	5.516861	4.477179	5.2661295	2.3257241	3.2249207	4.6610513	4.113157	4.286246
LPCAT2	6.097048	6.2679014	6.690117	6.4485407	6.717216	6.9857917	7.815244	7.662806	7.50457	7.500747
CTB-61M7.2-001	7.1732693	4.86225	5.434058	4.27394	5.5864997	5.1898355	4.1624107	4.048972	4.1456347	4.1223235
PLXNA4	6.8848014	6.7954574	6.3699737	5.360967	7.104536	4.80032	5.8064876	5.3314056	3.9001276	6.299206
CDKN3	6.182589	5.6148076	5.4989166	5.289448	6.0640416	4.987382	3.6129017	4.5405693	4.481432	5.0283732
C9orf116	4.4739532	4.8514333	5.0367146	4.6074514	4.434629	3.044113	4.0258923	3.5495243	3.9604168	3.5593581
ZNF180	4.259703	4.543049	4.8043513	4.9537344	4.732057	3.1238225	4.345297	3.0187948	3.2268531	3.2729857
PDXK	3.1647444	3.8315945	3.9782417	3.812008	2.6988125	4.466769	5.0696917	4.448374	4.6617584	4.275169
NHLH1	2.9628203	3.166804	3.0661016	3.0505118	3.1807501	4.740181	4.17205	4.74808	5.0247436	4.432572
LOC100288018	4.364125	4.201461	4.761415	5.621798	5.966322	1.3324438	2.5609994	2.6676018	2.8270178	2.497481
OSR1	5.0957003	5.1127405	4.903891	3.4193306	4.4068184	1.7434334	3.4738133	1.6874228	1.6308142	1.7305747
LOC100996756	4.612459	6.361222	5.662704	6.077087	5.9247727	3.1144125	1.337509	2.5967937	3.2885106	2.9134288
GLYATL3	3.9954252	3.8934743	4.462074	4.4175763	4.12054	5.8802347	5.455489	5.17721	4.566542	6.067361
linc-ZNF366-5	1.7094017	1.4063511	3.3624227	2.501233	2.8885067	5.4043384	4.438465	4.5871034	4.7205205	4.477179
IFIH1	9.822883	10.302571	9.993076	9.637228	10.193306	10.228982	11.163966	11.210872	11.18148	11.3145685
KIT	8.147392	5.452021	4.880381	4.9987125	5.9421353	6.5219045	4.69411	2.6352668	1.3766743	3.7313435
WISP1	8.969854	9.016692	8.62415	6.778499	9.635797	5.64931	6.683261	6.189173	5.0669556	7.343788
CYR61	10.605212	10.8130665	8.556426	8.281582	9.051802	8.130974	8.425376	7.115716	8.222854	6.962623
TNFRSF18	3.7447417	5.120463	4.610746	5.7034283	4.739172	6.8166666	6.598584	7.1952963	7.5277514	6.775286
KCNE1L	8.245713	7.096793	6.73958	6.7065244	7.024707	6.3473306	5.867934	6.1018286	5.5234756	6.4645724
AMIGO2	2.6622815	4.0405235	2.6715374	5.0618267	4.4020896	4.828029	6.5888495	5.08591	6.2097597	4.914531
linc-UMODL1-2	3.649031	3.2188973	4.631021	3.6617908	5.8054433	5.860824	5.199158	5.5398116	4.8699803	6.7971306
ANKRD5	5.496821	5.008935	4.579825	3.7374718	5.2182674	4.8308496	3.8257363	3.3254871	2.259078	4.476384
TNFRSF10B	9.930181	9.319243	10.033428	10.025627	9.908556	11.032319	10.693916	11.103954	10.98478	10.529875
IL6	9.999073	10.186966	9.918732	9.712968	10.371149	7.724906	7.715436	7.619469	7.224382	8.321685
SPECC1L-ADORA2A	5.8204727	5.5185556	6.0990915	6.9995914	5.754998	7.3733096	7.147999	7.4341493	8.632805	7.022568
DAW1	5.34427	6.60736	6.735707	5.552329	6.626786	4.3933597	5.878595	5.538294	3.9102352	5.4538097
PLCB1	9.277605	8.478254	8.648888	7.302463	8.261836	7.4807143	6.893678	7.7666125	4.8845654	7.440807
PCDH18	6.8476934	7.4555426	7.95989	8.080703	8.015298	5.721674	6.8210073	6.825629	6.646496	7.0203347
LINC00968-004	8.426043	9.485956	9.632788	9.069117	9.55361	7.327263	8.086776	7.8189287	7.643991	8.13856
CCL4	11.366646	8.805723	7.985244	7.5541544	8.935054	8.687188	6.877564	6.8204055	7.7345247	6.4686613
CYTIP	7.701382	6.131182	6.270375	4.8186884	6.2128515	3.2288463	3.3307784	2.3785167	1.3927798	2.965861
KB-1460A1.5-001	2.3586695	3.0426805	3.8483946	3.7258284	2.689376	4.616687	4.2998953	4.2810535	4.101526	3.8746305
linc-DGCR6-1	8.775094	9.509594	9.0494995	8.116774	8.919236	9.140573	10.362112	10.181468	10.527384	10.554583
CCNB1	9.1669235	8.072776	8.353865	8.524233	8.426043	6.9040327	6.6301894	7.7550817	7.698332	8.057579
RP11-327F22.6-001	5.323485	5.103715	5.006103	5.0717382	5.733976	5.620153	5.8230877	6.417787	6.3644137	7.024166
GALNTL2	7.915953	7.328355	8.411211	7.8338766	7.217912	7.0770717	6.648662	7.157174	6.610101	5.7457952
S1PR1	4.378803	3.73702	5.64931	6.220776	4.6427045	3.1279643	4.0648127	3.8994217	3.569104	2.3198214
IL24	7.099127	4.166885	5.056549	5.024412	6.001798	2.3725345	2.122476	1.4307932	3.0479693	3.0269494
G0S2	15.413351	14.765692	14.88279	15.016416	14.991303	13.705652	13.672049	13.422493	13.173217	13.558596
TRIB2	5.595126	4.8829823	4.577345	4.816494	5.4947796	3.870097	4.2201715	3.8259397	3.8225064	4.4969153
CCDC34	3.6443493	3.849561	3.952717	4.427888	4.2424936	1.8073051	2.636383	2.319291	2.9103343	2.2018332
FR339600	7.5306125	5.929569	4.9384556	5.4657254	7.049802	9.535423	8.206635	7.902212	6.969141	9.622881
linc-USPL1-1	4.8758893	4.114005	3.652529	4.009479	5.0814486	1.2704611	2.469469	3.4270623	2.4925756	3.8309321
CHRDL2	4.570331	4.0805664	3.5431278	4.596607	4.4461403	1.6178755	2.6218536	2.5533245	4.0739565	3.4724553
JAM2	6.469653	7.00339	7.3729086	7.880858	7.705403	8.002496	9.300948	9.437182	9.548101	8.9252615
linc-SLC35F5-2	2.891651	3.9264743	2.8235023	3.677336	4.1371317	4.5571594	4.7256308	4.6488233	4.473384	4.369478
DIRAS3	4.8868747	5.664215	5.5456724	7.208161	5.0759196	1.3120028	4.740778	3.7997596	4.398433	3.6542463
C7orf74	10.409736	9.584738	9.067436	8.987487	8.98506	8.464361	8.28994	8.2480135	8.246809	7.985732
ENC1	7.713944	7.934388	8.372968	8.231378	7.40188	6.1037536	7.2075567	7.003891	6.815164	6.3085957
FOS	8.456775	8.129834	8.555997	8.35448	8.5024395	7.1903377	6.9236465	7.5012307	7.380209	7.730573
CSTF3	2.7821987	3.5475612	3.660542	4.192452	3.8217971	4.308957	4.872286	4.5375547	4.869816	4.448523
GPX3	6.9087596	7.4447703	7.7969737	8.282079	7.0917296	8.829916	9.524879	9.037935	9.314658	8.067151
VMP1	8.959316	8.43352	7.912854	7.7122025	8.213702	7.5863485	7.39729	7.0657086	6.7096305	7.2520394
FR062961	5.9656644	5.940766	5.842724	6.2415476	6.5339975	7.5735264	7.1320095	7.0567307	6.6574426	7.975441
MT1L	3.6685042	2.70967	3.209587	3.9227617	3.8656247	5.6033015	4.978895	3.7612283	4.8987737	4.548974
LXN	9.000168	7.7879786	7.6134915	6.779735	7.5132914	7.1812415	6.446185	6.0056033	5.672166	5.8905396
PLCB1	8.720906	8.359462	8.593963	7.127965	8.011002	7.0505915	6.9208484	7.713796	5.505015	7.2352834
FR186324	5.9442534	5.2401996	5.609304	4.596312	6.232722	4.7721186	3.4241433	4.6173186	4.069661	5.3999667
FZD4	6.7933497	6.6173916	6.407864	7.346906	6.15356	5.0280643	5.505427	4.933816	5.839364	5.0758467
CXCL9	9.258694	6.5136805	4.717478	7.8349247	9.134262	6.188194	4.7841687	4.2283506	5.9205537	6.68602
IL24	6.7773414	4.279127	4.7384624	5.186324	5.911611	2.5987654	2.5738406	2.9353993	3.6477885	3.881248
C1orf53	5.717815	5.800854	6.354647	5.6991715	6.1802015	4.4260545	4.9997163	5.0904636	4.537126	5.150992
DIO2	7.477205	6.7484303	5.947291	5.467346	5.6224465	4.5894723	4.690548	3.6151953	4.5159545	4.2400937
SLC6A9	9.0826	8.736649	8.509509	6.8827558	8.347208	6.310959	5.9634223	6.829142	5.809603	6.998026
KIAA1199	11.50348	11.288166	11.425575	10.489328	11.578433	9.712968	9.8274	10.412767	9.3571205	10.466061
LNX1	7.1564274	7.127781	7.697102	6.788307	7.503051	6.222688	6.9797335	6.3438334	5.6250496	6.0134006
VLDLR	5.979387	5.550917	4.7074394	3.8795044	5.4523273	3.3609333	3.532303	3.6749752	3.7413888	4.6761265
PTGIR	5.748156	6.2677894	6.122562	5.8423905	5.567433	7.1535745	7.3162827	7.375886	8.280633	6.7565784
CC2D2A	5.45761	6.2711625	6.5498095	5.9447036	5.8900995	4.259536	5.4523273	5.2903666	4.662388	4.7403936
LOC100129171	12.019255	12.017663	12.339309	11.855453	12.417913	10.495393	10.283255	10.621529	9.89061	11.271453
LINC00944-002	5.553094	5.411084	6.025415	7.028406	6.681208	7.2126846	7.4373374	7.617809	7.7952757	7.4473014
LOC100130876	5.038992	4.913368	3.4661562	4.8108325	4.121842	5.8794503	5.902259	4.887009	5.2491865	5.645699
CD40	6.8150992	6.0993586	5.8404956	5.55432	5.5419245	7.6662307	7.4406533	7.3234525	6.9591203	6.5711565
TRAM2	9.400358	9.215111	9.532041	9.215325	9.235809	8.415242	8.389675	8.273519	7.7295246	8.163656
PLXNA4	6.970377	7.122877	6.8656487	5.584763	7.654506	5.2833724	6.017432	5.393993	4.528468	6.56434
CTGF	8.311936	8.936113	7.290106	6.5442967	8.254416	6.518916	7.579562	6.0003166	5.872362	6.5459714
CTB-167B5.2-001	7.423298	6.7912254	8.447153	5.1422524	7.5995736	5.8070683	5.9224653	5.8472505	4.065941	5.4819856
linc-JAK1-2	5.412222	5.3116717	5.099294	5.2282906	5.4331903	6.4638033	6.3990407	6.4562793	5.9253783	6.8914075
LOC101927249	4.7919254	4.050679	4.0335097	4.8088894	4.57829	1.8070416	3.6314328	2.9245062	3.4502926	3.2800055
RP11-496N12.9-001	5.625498	5.0125475	4.96464	4.3878717	5.3106833	4.786091	4.012986	2.985312	3.4856837	3.8822117
FR018579	6.0008636	5.336158	5.282562	4.864511	5.364875	3.7910085	3.9776192	4.2946596	4.1076717	4.613912
ELOVL7	7.610127	7.683473	7.7723074	7.573614	7.771815	8.7262335	9.348697	9.248274	8.223836	8.648128
TACC2	5.366955	5.0229087	6.074665	4.5804305	5.586112	4.3257246	4.3896894	4.604022	3.3251216	4.626388
CAP2	7.46474	7.1515293	7.2607126	5.6691546	6.2441754	4.7348294	5.473673	5.853454	4.46559	5.204496
CD40	6.9219065	6.027712	5.886094	5.4075494	6.15932	7.632468	7.457234	7.157699	7.1075077	6.5819683
AGAP1	8.121552	7.603968	7.4579625	7.040817	7.409186	7.001819	6.7583785	6.455559	5.8226357	6.4872956
TGM2	9.853086	9.27354	8.483885	6.516953	8.508892	6.041829	6.248418	5.5206857	2.9326398	6.39744
SYNPO2	1.7262356	1.7223305	3.02229	2.9474907	3.5100088	4.1792483	5.101966	4.2419314	4.2541366	4.0397882
PSAT1	5.0520496	5.2274704	5.9225473	4.9185476	5.178302	2.5226555	4.558031	4.7298417	4.2118406	3.9948974
WISP1	7.8072166	7.718313	7.4009557	5.7195554	8.567427	4.850592	5.519108	4.857524	3.7314641	6.206772
SNTB1	6.902824	7.0531635	7.2961564	6.660209	7.3690343	4.903532	5.3823915	5.5987086	4.9482865	5.6954136
FR363590	6.891792	6.271068	6.448063	6.5966253	7.567886	5.606173	5.956235	5.0830264	5.3737006	6.029897
PMEPA1	4.6293344	4.312725	4.539628	4.6459484	4.9056773	2.8850324	3.6687574	2.5487742	3.1741009	4.1467776
ZSCAN12	6.5944953	6.6344767	5.916528	6.027426	6.751487	8.041185	7.6885805	7.335936	6.6451273	8.448817
TRAF5	4.9349027	5.165098	4.587185	4.572058	5.3062854	3.0134394	4.288529	2.89068	3.626188	4.19933
STXBP6	4.603846	4.4629364	6.4004254	6.1097136	4.7496367	2.508023	4.3187814	5.2689843	4.8981996	3.8977299
RNU11-201	8.579579	9.506922	8.331527	8.302842	8.5728445	6.3143787	5.9922843	7.1600876	6.975147	8.298475
CCL5	11.664139	10.573414	11.369741	11.709421	9.9461355	9.677166	8.955452	9.979313	10.471117	8.087154
HIST1H1B	7.10203	7.537118	7.473747	7.4129233	7.0997925	5.7294273	5.3740363	6.482682	6.408893	7.1230016
ADAM19	6.6957703	5.4408712	5.4813576	3.7322416	5.2222576	3.727648	4.2378087	4.3850245	3.05266	4.1377373
linc-JAK1-2	4.275169	4.5219154	4.1241894	4.052027	4.6794996	5.332902	5.656512	5.785201	4.958821	6.139667
SPON1	6.297084	6.2043877	7.158436	6.873902	6.964408	4.715438	4.51322	6.161975	5.708255	5.869365
SP110	7.3992705	7.7489376	7.358326	7.2782903	7.746639	7.9535527	8.832085	8.612666	8.859411	8.811684
PERP	4.85818	5.4429407	5.9709034	5.9857264	4.8508224	6.8701057	6.9149623	7.2756233	7.4961877	5.6165004
CDCP1	9.064986	7.842591	7.1043324	6.777926	8.161232	7.3531113	6.4128604	6.541312	5.979587	7.214024
linc-ACVR2A-4	5.126546	5.8958035	5.1973085	5.208795	4.8265805	2.474134	4.725435	4.243512	3.3558602	4.3860855
CP	6.366049	6.850422	6.467962	6.3765354	7.5304914	5.4850187	6.3606806	5.532541	4.6446137	6.51838
SPTLC3	7.1869187	7.3812313	7.4456873	7.527962	7.4367075	6.3404593	6.389991	6.276064	6.2089777	6.6918373
KRT14	5.2007446	4.8388853	4.360831	3.7214594	4.940068	3.9802754	2.633063	3.675128	3.6702137	4.028603
linc-TSHZ2-1	8.024649	7.036019	7.763087	8.478471	7.9093676	6.7131386	5.948359	7.0809774	6.184007	7.024007
VGLL3	4.417126	4.5879173	4.401669	3.9754853	4.0004406	2.129099	3.2186663	1.4766268	2.0481632	1.2678964
PRICKLE1	7.304571	7.230912	7.4814315	7.1798706	7.5666842	5.7666283	6.075226	6.0253224	5.679616	5.9142985
AC003991.3-006	9.977482	8.871216	10.212999	7.213582	9.319788	7.2279844	7.7362394	7.269078	5.7045116	7.3163652
FAM108C1	6.883581	6.648662	7.476384	6.406438	7.208736	5.561147	5.620611	6.598696	5.110156	6.2720385
POPDC2	3.8336692	3.8977299	4.4442873	3.9353926	3.897414	5.3678484	5.4370475	5.1266255	5.112032	4.1166863
STAT5A	5.217972	5.145594	5.1409445	5.640271	5.1788635	6.1640396	6.073099	6.669206	6.910894	5.9205537
RP4-697K14.12-001	9.079511	9.513668	9.1344385	8.982539	9.253676	9.767677	10.576632	10.413207	10.922914	10.72054
KIAA1199	11.496548	11.402179	11.648708	10.780901	11.774191	9.565714	10.082325	10.602658	9.904622	10.95204
HAS2	8.920504	8.839879	9.549828	8.989612	8.981932	7.7216825	8.015126	7.714406	7.3372006	7.4401684
LOC101930617	6.9137626	5.624069	6.318408	5.524005	6.5947723	4.8180103	3.9730377	3.8220696	3.3925319	4.532528
CELF2	5.0326667	4.8033257	6.5022087	5.6083784	5.7746253	2.1793132	4.671081	5.0244613	3.7166271	3.6041055
FR244145	4.584223	5.3951263	6.48454	5.42828	5.744897	1.6523111	4.36843	4.8859453	4.162499	4.235669
CCL3L3	10.792238	8.902799	8.736133	8.327622	9.026326	7.9534354	6.493868	7.2798243	7.748601	6.889744
TREM1	10.108293	8.318225	6.80196	7.3648324	9.307656	8.494077	6.5618505	6.322788	6.720204	8.513878
GNA14	7.1719284	7.758737	8.053054	6.634301	6.606544	6.182589	6.398306	6.1964855	5.3527737	5.324079
linc-DHX37-4	4.742487	4.26417	4.2198987	4.530161	4.2401676	5.837693	5.5985003	6.157439	5.783656	5.851293
IFIT2	5.79468	5.910626	6.525669	5.753318	6.788601	6.1133785	7.863268	7.938625	8.437407	8.447287
TGM2	12.485068	12.142659	11.550615	9.059354	11.579724	7.7066703	8.402198	7.954666	6.1760225	8.536533
LOC101929319	4.431831	4.342664	3.25322	3.369437	4.233262	4.731017	5.575329	5.720308	4.8787327	5.439053
RSAD2	8.442147	9.22331	8.777045	8.465716	8.913848	8.642181	9.793504	9.949469	10.271181	10.473685
FAM102B	6.2356257	5.497821	6.0640755	5.48808	5.790265	5.2152925	4.8609915	5.084871	3.971402	4.7299953
GHR	5.280744	5.6825867	6.502918	5.9024534	6.18366	3.9572444	5.4438286	4.889429	4.7491317	5.029832
FTH1	15.551239	15.174802	15.099842	15.107437	15.168612	14.41542	14.298201	13.932631	13.901134	14.093025
KCTD15	5.5922823	4.5834417	5.4414625	5.5401516	5.4514184	3.6474135	4.1286716	3.9364567	3.9213219	4.0061026
FR224587	7.891383	8.484059	7.0960474	7.635142	7.353857	6.205844	6.995859	5.175509	6.226902	5.8935647
MAST4	5.910191	5.2655773	5.245513	4.145867	5.031816	4.454919	3.991101	4.277104	3.7841203	3.9246962
CLEC2D	4.9533424	4.8313155	4.169157	4.8992677	4.3440933	5.1437335	6.219165	5.664775	5.8444743	5.329307
SLC38A3-008	7.9883785	7.7419715	7.556617	7.503051	7.842123	6.516131	6.188194	6.626786	7.235358	6.898715
IL36G	2.8831377	2.2306244	3.828693	5.499072	1.7806958	5.0274873	5.856818	6.8405933	7.6947174	4.34634
CYP24A1	7.2237315	4.940068	5.931919	4.6913314	6.438295	3.2993877	2.1611853	2.6924584	1.3106161	3.412561
LOC100130560	5.8979535	5.185389	5.5283837	5.2522707	5.871893	7.051521	6.6067667	6.7782297	6.096723	7.108083
AC005682.8-001	3.0809155	4.4243593	4.4387374	3.7755795	4.8822002	6.220371	5.997873	6.6979303	5.2898946	6.55249
ZNF521	5.9510612	6.4670157	7.0467196	6.5875115	6.4500856	4.298233	5.7005806	5.8029866	5.1925173	5.64675
HES4	5.512637	6.15932	5.8190217	6.2725344	5.449019	6.610101	6.014469	6.9489355	7.7433105	7.349101
FR070335	5.4197626	5.4551296	5.6654015	3.530686	4.208047	2.8022501	3.72571	1.2281888	3.288254	2.6532578
linc-SLC35F5-2	3.317851	2.1624894	3.4712324	3.7902822	3.4262547	4.8832173	3.688671	4.470999	4.668797	4.0464096
CTD-2033D15.1-001	8.417251	7.272616	7.309	5.864957	7.224948	5.2060175	5.523643	4.9766426	4.601403	5.0781255
LINC00944-004	5.7510686	5.0975685	5.1738772	6.161095	6.037655	6.6939836	6.684621	6.944965	6.7388806	6.565634
VASH2	5.149954	4.618446	5.420658	5.3464813	4.845097	4.1044383	4.075156	4.591488	4.161185	2.7221966
ADORA2B	5.537381	4.984432	5.5305996	5.4335136	5.499828	2.8552864	4.048431	5.119446	4.393022	4.3515964
FOXQ1	5.342301	5.9998956	7.5348253	7.3700876	7.3141155	5.1046586	4.995944	5.78528	6.142107	6.0999665
TNFRSF10B	9.5721245	9.23545	9.802135	9.718635	9.638345	10.813498	10.582093	10.848082	10.876789	10.350913
LINC00473-002	6.0078573	6.0675325	5.754998	6.170112	5.7837462	4.40659	4.8947415	5.1409445	4.1572294	5.2228427
RHOB	10.897073	12.038902	11.774191	11.650722	10.748252	9.720276	10.519216	10.138563	10.40073	9.743747
linc-ZNF366-7	3.7741566	3.0378635	4.178074	3.6078517	3.539625	4.4263964	4.637073	4.1477485	5.2243114	4.7447557
SLC22A15	4.8104877	4.5064344	4.201236	4.380646	4.233876	2.6755874	4.265309	2.4034536	3.170227	3.402094
DIO2	7.352442	6.4625077	5.715243	5.0158777	5.3019357	3.9730377	4.332074	4.4170427	3.3971505	3.7075973
EGR1	5.852538	5.7116513	5.1881027	5.183321	6.071282	3.9470446	4.008141	3.086199	3.7231452	4.2678366
ABTB2	6.499626	6.7938313	6.8910336	7.0633	6.709835	7.9942374	7.672019	8.323779	8.408501	7.8452406
OASL	8.545229	9.902293	8.468014	7.8880534	8.967631	9.146967	10.067281	10.010517	10.801859	11.16098
PLXNA4	9.309554	9.198326	8.7953005	7.6649013	9.483494	7.5841537	8.146214	7.609497	6.46749	8.461521
RAB7B	4.018987	5.6459303	5.0264735	5.5866885	4.498925	2.1916623	4.648989	4.4000893	4.210255	3.1723278
RAB27B	10.151023	9.6953945	10.320865	10.279258	9.891836	9.073952	8.852023	8.869626	7.7832575	8.543544
SLC5A3	10.339504	9.229582	9.540585	9.873403	9.263933	9.488547	8.399617	8.719407	8.238651	8.257137
IBSP	6.2097597	7.692319	6.225917	5.7452354	6.722952	3.3281462	4.523389	4.6705894	3.4899344	4.0920677
DUSP1	9.3848095	8.896393	8.983575	8.795427	9.417411	8.325862	7.993826	7.954544	7.617317	8.213823
PHACTR1	7.592788	7.059559	7.4100146	7.619142	7.94063	8.436943	8.611385	8.588264	8.61974	8.523406
IGF1	6.34392	7.347765	7.8520927	7.8175917	6.5234528	2.1403503	6.07255	6.3087234	6.004461	5.1468725
MMP3	13.430379	12.467555	10.550031	12.589975	12.956253	12.417913	11.17013	9.999073	9.968665	11.306177
linc-COG2-2	4.6655025	3.4492166	3.716252	3.7704148	3.8895988	2.6776385	3.6080906	2.4632623	1.2887287	2.5964167
linc-TTC35-1	6.4394026	5.9263935	5.944171	6.052752	6.3786006	3.728944	4.2303224	3.7443707	4.6043334	4.991756
BAI3	5.9812994	6.41919	5.17369	3.8381448	7.339216	3.9615545	5.0547643	4.2395115	2.2468145	6.9809713
IL1RN	8.119384	9.446433	11.283511	11.908055	8.209434	6.7749634	8.195597	10.760742	10.219083	7.751893
HSPA1B	9.363812	9.240965	9.748913	9.88032	9.752143	11.151877	11.366102	10.984227	11.39277	10.990695
PATL2	4.8284874	4.663493	4.210846	4.760135	4.5559683	5.8871026	5.2380414	5.5635037	5.8301997	5.677758
C2orf89	3.131574	5.284878	5.584376	6.071004	4.4634557	5.066407	6.314006	7.088246	7.8773	5.183321
KALRN	4.1506057	5.173083	5.2811213	4.8665566	4.462615	2.9277463	4.1354246	4.1707263	3.1605802	3.489267
linc-WDR7-7	8.923096	8.464877	8.564267	8.514061	8.068757	8.002702	7.2074366	7.2762685	6.1894746	6.9862227
CPOX	4.5594053	4.803434	4.4760036	4.254503	4.693282	2.198869	3.6173832	2.9729435	2.7233443	3.4524968
