ENSG00000128016	ENSG00000006075	ZFP36	CCL3	physical
ENSG00000157404	ENSG00000121879	KIT	PIK3CA	physical
ENSG00000157404	ENSG00000124181	KIT	PLCG1	physical
ENSG00000134853	ENSG00000157404	PDGFRA	KIT	physical
ENSG00000157404	ENSG00000135404	KIT	CD63	physical
ENSG00000157404	ENSG00000135605	KIT	TEC	physical
ENSG00000157404	ENSG00000141367	KIT	CLTC	physical
ENSG00000141738	ENSG00000157404	GRB7	KIT	physical
ENSG00000157404	ENSG00000141968	KIT	VAV1	physical
ENSG00000157404	ENSG00000145675	KIT	PIK3R1	physical
ENSG00000147010	ENSG00000157404	SH3KBP1	KIT	physical
ENSG00000157404	ENSG00000150991	KIT	UBC	physical
ENSG00000157404	ENSG00000151490	KIT	PTPRO	physical
ENSG00000154016	ENSG00000157404	GRAP	KIT	physical
ENSG00000157404	ENSG00000160999	KIT	SH2B2	physical
ENSG00000157404	ENSG00000166851	KIT	PLK1	physical
ENSG00000157404	ENSG00000167193	KIT	CRK	physical
ENSG00000157404	ENSG00000168685	KIT	IL7R	physical
ENSG00000157404	ENSG00000168918	KIT	INPP5D	physical
ENSG00000157404	ENSG00000170677	KIT	SOCS6	physical
ENSG00000157404	ENSG00000173757	KIT	STAT5B	physical
ENSG00000157404	ENSG00000176105	KIT	YES1	physical
ENSG00000157404	ENSG00000177885	KIT	GRB2	physical
ENSG00000157404	ENSG00000178188	KIT	SH2B1	physical
ENSG00000157404	ENSG00000179295	KIT	PTPN11	physical
ENSG00000157404	ENSG00000179943	KIT	FIZ1	physical
ENSG00000157404	ENSG00000182511	KIT	FES	physical
ENSG00000182866	ENSG00000157404	LCK	KIT	physical
ENSG00000157404	ENSG00000185338	KIT	SOCS1	physical
ENSG00000186716	ENSG00000157404	BCR	KIT	physical
ENSG00000197122	ENSG00000157404	SRC	KIT	physical
ENSG00000157404	ENSG00000254087	KIT	LYN	physical
ENSG00000161570	ENSG00000038358	CCL5	EDC4	physical
ENSG00000038427	ENSG00000161570	VCAN	CCL5	physical
ENSG00000161570	ENSG00000087077	CCL5	TRIP6	physical
ENSG00000161570	ENSG00000100401	CCL5	RANGAP1	physical
ENSG00000161570	ENSG00000115884	CCL5	SDC1	physical
ENSG00000161570	ENSG00000124145	CCL5	SDC4	physical
ENSG00000161570	ENSG00000142583	CCL5	SLC2A5	physical
ENSG00000161570	ENSG00000160791	CCL5	CCR5	physical
ENSG00000163453	ENSG00000161570	IGFBP7	CCL5	physical
ENSG00000161570	ENSG00000163823	CCL5	CCR1	physical
ENSG00000161570	ENSG00000173039	CCL5	RELA	physical
ENSG00000161570	ENSG00000183625	CCL5	CCR3	physical
ENSG00000183813	ENSG00000161570	CCR4	CCL5	physical
ENSG00000162892	ENSG00000120885	IL24	CLU	physical
ENSG00000160791	ENSG00000162892	CCR5	IL24	physical
ENSG00000161634	ENSG00000162892	DCD	IL24	physical
ENSG00000162892	ENSG00000172819	IL24	RARG	physical
ENSG00000064393	ENSG00000163739	HIPK2	CXCL1	physical
ENSG00000164761	ENSG00000120659	TNFRSF11B	TNFSF11	physical
ENSG00000161955	ENSG00000164761	TNFSF13	TNFRSF11B	physical
ENSG00000167207	ENSG00000023445	NOD2	BIRC3	physical
ENSG00000167207	ENSG00000026025	NOD2	VIM	physical
ENSG00000167207	ENSG00000073009	NOD2	IKBKG	physical
ENSG00000167207	ENSG00000076604	NOD2	TRAF4	physical
ENSG00000167207	ENSG00000085978	NOD2	ATG16L1	physical
ENSG00000091106	ENSG00000167207	NLRC4	NOD2	physical
ENSG00000167207	ENSG00000092098	NOD2	RNF31	physical
ENSG00000096384	ENSG00000167207	HSP90AB1	NOD2	physical
ENSG00000167207	ENSG00000101966	NOD2	XIAP	physical
ENSG00000167207	ENSG00000104312	NOD2	RIPK2	physical
ENSG00000167207	ENSG00000106100	NOD2	NOD1	physical
ENSG00000167207	ENSG00000110330	NOD2	BIRC2	physical
ENSG00000167207	ENSG00000125826	NOD2	RBCK1	physical
ENSG00000167207	ENSG00000135341	NOD2	MAP3K7	physical
ENSG00000167207	ENSG00000137275	NOD2	RIPK1	physical
ENSG00000137752	ENSG00000167207	CASP1	NOD2	physical
ENSG00000167207	ENSG00000143641	NOD2	GALNT2	physical
ENSG00000167207	ENSG00000150991	NOD2	UBC	physical
ENSG00000167207	ENSG00000154001	NOD2	PPP2R5E	physical
ENSG00000161011	ENSG00000167207	SQSTM1	NOD2	physical
ENSG00000165416	ENSG00000167207	SUGT1	NOD2	physical
ENSG00000167207	ENSG00000167011	NOD2	NAT16	physical
ENSG00000167207	ENSG00000168090	NOD2	COPS6	physical
ENSG00000167207	ENSG00000172977	NOD2	KAT5	physical
ENSG00000175104	ENSG00000167207	TRAF6	NOD2	physical
ENSG00000167207	ENSG00000179526	NOD2	SHARPIN	physical
ENSG00000167207	ENSG00000184557	NOD2	SOCS3	physical
ENSG00000167207	ENSG00000196781	NOD2	TLE1	physical
ENSG00000167207	ENSG00000204403	NOD2	CASP12	physical
ENSG00000167207	ENSG00000204713	NOD2	TRIM27	physical
ENSG00000167207	ENSG00000214253	NOD2	FIS1	physical
ENSG00000169429	HMDB01937	IL8	Salbutamol	Metabolic
ENSG00000005339	ENSG00000170345	CREBBP	FOS	physical
ENSG00000041357	ENSG00000170345	PSMA4	FOS	physical
ENSG00000043039	ENSG00000170345	BARX2	FOS	physical
ENSG00000170345	ENSG00000048540	FOS	LMO3	physical
ENSG00000066117	ENSG00000170345	SMARCD1	FOS	physical
ENSG00000066336	ENSG00000170345	SPI1	FOS	physical
ENSG00000170345	ENSG00000067445	FOS	TRO	physical
ENSG00000170345	ENSG00000069399	FOS	BCL3	physical
ENSG00000170345	ENSG00000070770	FOS	CSNK2A2	physical
ENSG00000071242	ENSG00000170345	RPS6KA2	FOS	physical
ENSG00000072401	ENSG00000170345	UBE2D1	FOS	physical
ENSG00000170345	ENSG00000080503	FOS	SMARCA2	physical
ENSG00000170345	ENSG00000083799	FOS	CYLD	physical
ENSG00000170345	ENSG00000084676	FOS	NCOA1	physical
ENSG00000170345	ENSG00000087191	FOS	PSMC5	physical
ENSG00000170345	ENSG00000091831	FOS	ESR1	physical
ENSG00000092067	ENSG00000170345	CEBPE	FOS	physical
ENSG00000170345	ENSG00000096171	FOS	VARS	physical
ENSG00000170345	ENSG00000096717	FOS	SIRT1	physical
ENSG00000097007	ENSG00000170345	ABL1	FOS	physical
ENSG00000099817	ENSG00000170345	POLR2E	FOS	physical
ENSG00000170345	ENSG00000099956	FOS	SMARCB1	physical
ENSG00000170345	ENSG00000100030	FOS	MAPK1	physical
ENSG00000170345	ENSG00000100055	FOS	CYTH4	physical
ENSG00000170345	ENSG00000100201	FOS	DDX17	physical
ENSG00000100219	ENSG00000170345	XBP1	FOS	physical
ENSG00000170345	ENSG00000100393	FOS	EP300	physical
ENSG00000170345	ENSG00000100721	FOS	TCL1A	physical
ENSG00000170345	ENSG00000100811	FOS	YY1	physical
ENSG00000170345	ENSG00000101199	FOS	ARFGAP1	physical
ENSG00000170345	ENSG00000101266	FOS	CSNK2A1	physical
ENSG00000170345	ENSG00000102021	FOS	LUZP4	physical
ENSG00000103275	ENSG00000170345	UBE2I	FOS	physical
ENSG00000103495	ENSG00000170345	MAZ	FOS	physical
ENSG00000170345	ENSG00000104529	FOS	EEF1D	physical
ENSG00000170345	ENSG00000104722	FOS	NEFM	physical
ENSG00000170345	ENSG00000105698	FOS	USF2	physical
ENSG00000111424	ENSG00000170345	VDR	FOS	physical
ENSG00000112592	ENSG00000170345	TBP	FOS	physical
ENSG00000170345	ENSG00000115966	FOS	ATF2	physical
ENSG00000116044	ENSG00000170345	NFE2L2	FOS	physical
ENSG00000170345	ENSG00000119335	FOS	SET	physical
ENSG00000170345	ENSG00000120885	FOS	CLU	physical
ENSG00000170345	ENSG00000123240	FOS	OPTN	physical
ENSG00000170345	ENSG00000124151	FOS	NCOA3	physical
ENSG00000124813	ENSG00000170345	RUNX2	FOS	physical
ENSG00000170345	ENSG00000125651	FOS	GTF2F1	physical
ENSG00000170345	ENSG00000125846	FOS	ZNF133	physical
ENSG00000170345	ENSG00000127337	FOS	YEATS4	physical
ENSG00000170345	ENSG00000127920	FOS	GNG11	physical
ENSG00000170345	ENSG00000128272	FOS	ATF4	physical
ENSG00000170345	ENSG00000130005	FOS	GAMT	physical
ENSG00000170345	ENSG00000130522	FOS	JUND	physical
ENSG00000170345	ENSG00000131711	FOS	MAP1B	physical
ENSG00000170345	ENSG00000134198	FOS	TSPAN2	physical
ENSG00000135100	ENSG00000170345	HNF1A	FOS	physical
ENSG00000170345	ENSG00000137106	FOS	GRHPR	physical
ENSG00000170345	ENSG00000138092	FOS	CENPO	physical
ENSG00000170345	ENSG00000138663	FOS	COPS4	physical
ENSG00000170345	ENSG00000139687	FOS	RB1	physical
ENSG00000170345	ENSG00000140396	FOS	NCOA2	physical
ENSG00000140464	ENSG00000170345	PML	FOS	physical
ENSG00000170345	ENSG00000140543	FOS	DET1	physical
ENSG00000170345	ENSG00000142192	FOS	APP	physical
ENSG00000170345	ENSG00000142453	FOS	CARM1	physical
ENSG00000170345	ENSG00000143207	FOS	RFWD2	physical
ENSG00000170345	ENSG00000143401	FOS	ANP32E	physical
ENSG00000170345	ENSG00000145675	FOS	PIK3R1	physical
ENSG00000170345	ENSG00000146592	FOS	CREB5	physical
ENSG00000147133	ENSG00000170345	TAF1	FOS	physical
ENSG00000170345	ENSG00000150991	FOS	UBC	physical
ENSG00000170345	ENSG00000151967	FOS	SCHIP1	physical
ENSG00000170345	ENSG00000152214	FOS	RIT2	physical
ENSG00000152804	ENSG00000170345	HHEX	FOS	physical
ENSG00000153879	ENSG00000170345	CEBPG	FOS	physical
ENSG00000157514	ENSG00000170345	TSC22D3	FOS	physical
ENSG00000157557	ENSG00000170345	ETS2	FOS	physical
ENSG00000170345	ENSG00000157782	FOS	CABP1	physical
ENSG00000170345	ENSG00000158773	FOS	USF1	physical
ENSG00000159216	ENSG00000170345	RUNX1	FOS	physical
ENSG00000170345	ENSG00000159459	FOS	UBR1	physical
ENSG00000162302	ENSG00000170345	RPS6KA4	FOS	physical
ENSG00000170345	ENSG00000162409	FOS	PRKAA2	physical
ENSG00000170345	ENSG00000162772	FOS	ATF3	physical
ENSG00000166484	ENSG00000170345	MAPK7	FOS	physical
ENSG00000170345	ENSG00000166949	FOS	SMAD3	physical
ENSG00000170345	ENSG00000169020	FOS	ATP5I	physical
ENSG00000170345	ENSG00000170266	FOS	GLB1	physical
ENSG00000170345	ENSG00000170653	FOS	ATF7	physical
ENSG00000170345	ENSG00000171223	FOS	JUNB	physical
ENSG00000173039	ENSG00000170345	RELA	FOS	genetic
ENSG00000170345	ENSG00000173120	FOS	KDM2A	physical
ENSG00000170345	ENSG00000174446	FOS	SNAPC5	physical
ENSG00000175197	ENSG00000170345	DDIT3	FOS	physical
ENSG00000170345	ENSG00000177606	FOS	JUN	physical
ENSG00000170345	ENSG00000178573	FOS	MAF	physical
ENSG00000170345	ENSG00000181019	FOS	NQO1	physical
ENSG00000170345	ENSG00000182196	FOS	ARL6IP4	physical
ENSG00000185022	ENSG00000170345	MAFF	FOS	physical
ENSG00000185651	ENSG00000170345	UBE2L3	FOS	physical
ENSG00000187098	ENSG00000170345	MITF	FOS	physical
ENSG00000170345	ENSG00000188342	FOS	GTF2F2	physical
ENSG00000188986	ENSG00000170345	NELFB	FOS	physical
ENSG00000170345	ENSG00000196182	FOS	STK40	physical
ENSG00000170345	ENSG00000196498	FOS	NCOR2	physical
ENSG00000196531	ENSG00000170345	NACA	FOS	physical
ENSG00000170345	ENSG00000197265	FOS	GTF2E2	physical
ENSG00000198646	ENSG00000170345	NCOA6	FOS	physical
ENSG00000170345	ENSG00000204103	FOS	MAFB	physical
ENSG00000170345	ENSG00000204389	FOS	HSPA1A	physical
ENSG00000170345	ENSG00000213523	FOS	SRA1	physical
ENSG00000240583	ENSG00000170345	AQP1	FOS	physical
ENSG00000170345	ENSG00000245848	FOS	CEBPA	physical
ENSG00000001631	ENSG00000182621	KRIT1	PLCB1	physical
ENSG00000182621	ENSG00000005022	PLCB1	SLC25A5	physical
ENSG00000182621	ENSG00000008988	PLCB1	RPS20	physical
ENSG00000182621	ENSG00000010256	PLCB1	UQCRC1	physical
ENSG00000182621	ENSG00000029993	PLCB1	HMGB3	physical
ENSG00000182621	ENSG00000047410	PLCB1	TPR	physical
ENSG00000050628	ENSG00000182621	PTGER3	PLCB1	physical
ENSG00000182621	ENSG00000063046	PLCB1	EIF4B	physical
ENSG00000182621	ENSG00000065978	PLCB1	YBX1	physical
ENSG00000182621	ENSG00000066044	PLCB1	ELAVL1	physical
ENSG00000182621	ENSG00000067048	PLCB1	DDX3Y	physical
ENSG00000182621	ENSG00000069329	PLCB1	VPS35	physical
ENSG00000182621	ENSG00000070831	PLCB1	CDC42	physical
ENSG00000182621	ENSG00000071082	PLCB1	RPL31	physical
ENSG00000182621	ENSG00000071655	PLCB1	MBD3	physical
ENSG00000182621	ENSG00000072501	PLCB1	SMC1A	physical
ENSG00000182621	ENSG00000075415	PLCB1	SLC25A3	physical
ENSG00000182621	ENSG00000078668	PLCB1	VDAC3	physical
ENSG00000182621	ENSG00000084623	PLCB1	EIF3I	physical
ENSG00000182621	ENSG00000088256	PLCB1	GNA11	physical
ENSG00000182621	ENSG00000092199	PLCB1	HNRNPC	physical
ENSG00000182621	ENSG00000092439	PLCB1	TRPM7	physical
ENSG00000182621	ENSG00000100028	PLCB1	SNRPD3	physical
ENSG00000182621	ENSG00000100216	PLCB1	TOMM22	physical
ENSG00000182621	ENSG00000100316	PLCB1	RPL3	physical
ENSG00000182621	ENSG00000100401	PLCB1	RANGAP1	physical
ENSG00000182621	ENSG00000100591	PLCB1	AHSA1	physical
ENSG00000182621	ENSG00000100823	PLCB1	APEX1	physical
ENSG00000182621	ENSG00000101210	PLCB1	EEF1A2	physical
ENSG00000182621	ENSG00000101266	PLCB1	CSNK2A1	physical
ENSG00000182621	ENSG00000101624	PLCB1	CEP76	physical
ENSG00000182621	ENSG00000102081	PLCB1	FMR1	physical
ENSG00000182621	ENSG00000105640	PLCB1	RPL18A	physical
ENSG00000182621	ENSG00000105821	PLCB1	DNAJC2	physical
ENSG00000182621	ENSG00000106244	PLCB1	PDAP1	physical
ENSG00000182621	ENSG00000107833	PLCB1	NPM3	physical
ENSG00000182621	ENSG00000108424	PLCB1	KPNB1	physical
ENSG00000182621	ENSG00000108829	PLCB1	LRRC59	physical
ENSG00000182621	ENSG00000109062	PLCB1	SLC9A3R1	physical
ENSG00000182621	ENSG00000111605	PLCB1	CPSF6	physical
ENSG00000182621	ENSG00000111642	PLCB1	CHD4	physical
ENSG00000182621	ENSG00000111669	PLCB1	TPI1	physical
ENSG00000182621	ENSG00000112081	PLCB1	SRSF3	physical
ENSG00000112763	ENSG00000182621	BTN2A1	PLCB1	physical
ENSG00000182621	ENSG00000113013	PLCB1	HSPA9	physical
ENSG00000182621	ENSG00000113368	PLCB1	LMNB1	physical
ENSG00000182621	ENSG00000113387	PLCB1	SUB1	physical
ENSG00000182621	ENSG00000113522	PLCB1	RAD50	physical
ENSG00000182621	ENSG00000115268	PLCB1	RPS15	physical
ENSG00000182621	ENSG00000115306	PLCB1	SPTBN1	physical
ENSG00000182621	ENSG00000115524	PLCB1	SF3B1	physical
ENSG00000182621	ENSG00000115677	PLCB1	HDLBP	physical
ENSG00000182621	ENSG00000116254	PLCB1	CHD5	physical
ENSG00000182621	ENSG00000116459	PLCB1	ATP5F1	physical
ENSG00000182621	ENSG00000117399	PLCB1	CDC20	physical
ENSG00000182621	ENSG00000117450	PLCB1	PRDX1	physical
ENSG00000182621	ENSG00000117592	PLCB1	PRDX6	physical
ENSG00000182621	ENSG00000119335	PLCB1	SET	physical
ENSG00000182621	ENSG00000120802	PLCB1	TMPO	physical
ENSG00000182621	ENSG00000120948	PLCB1	TARDBP	physical
ENSG00000182621	ENSG00000123131	PLCB1	PRDX4	physical
ENSG00000182621	ENSG00000124614	PLCB1	RPS10	physical
ENSG00000182621	ENSG00000125107	PLCB1	CNOT1	physical
ENSG00000182621	ENSG00000125743	PLCB1	SNRPD2	physical
ENSG00000182621	ENSG00000127483	PLCB1	HP1BP3	physical
ENSG00000182621	ENSG00000127616	PLCB1	SMARCA4	physical
ENSG00000182621	ENSG00000130811	PLCB1	EIF3G	physical
ENSG00000182621	ENSG00000131469	PLCB1	RPL27	physical
ENSG00000182621	ENSG00000132341	PLCB1	RAN	physical
ENSG00000182621	ENSG00000132507	PLCB1	EIF5A	physical
ENSG00000182621	ENSG00000133112	PLCB1	TPT1	physical
ENSG00000182621	ENSG00000134001	PLCB1	EIF2S1	physical
ENSG00000182621	ENSG00000134287	PLCB1	ARF3	physical
ENSG00000182621	ENSG00000134419	PLCB1	RPS15A	physical
ENSG00000182621	ENSG00000135316	PLCB1	SYNCRIP	physical
ENSG00000135457	ENSG00000182621	TFCP2	PLCB1	physical
ENSG00000182621	ENSG00000135486	PLCB1	HNRNPA1	physical
ENSG00000182621	ENSG00000135624	PLCB1	CCT7	physical
ENSG00000182621	ENSG00000135829	PLCB1	DHX9	physical
ENSG00000182621	ENSG00000136518	PLCB1	ACTL6A	physical
ENSG00000182621	ENSG00000136938	PLCB1	ANP32B	physical
ENSG00000182621	ENSG00000137076	PLCB1	TLN1	physical
ENSG00000182621	ENSG00000137497	PLCB1	NUMA1	physical
ENSG00000182621	ENSG00000137818	PLCB1	RPLP1	physical
ENSG00000182621	ENSG00000138138	PLCB1	ATAD1	physical
ENSG00000182621	ENSG00000138326	PLCB1	RPS24	physical
ENSG00000182621	ENSG00000138385	PLCB1	SSB	physical
ENSG00000182621	ENSG00000138430	PLCB1	OLA1	physical
ENSG00000182621	ENSG00000139180	PLCB1	NDUFA9	physical
ENSG00000182621	ENSG00000141456	PLCB1	PELP1	physical
ENSG00000182621	ENSG00000142864	PLCB1	SERBP1	physical
ENSG00000182621	ENSG00000143549	PLCB1	TPM3	physical
ENSG00000182621	ENSG00000144713	PLCB1	RPL32	physical
ENSG00000182621	ENSG00000145220	PLCB1	LYAR	physical
ENSG00000182621	ENSG00000145741	PLCB1	BTF3	physical
ENSG00000182621	ENSG00000145907	PLCB1	G3BP1	physical
ENSG00000182621	ENSG00000146047	PLCB1	HIST1H2BA	physical
ENSG00000182621	ENSG00000146701	PLCB1	MDH2	physical
ENSG00000182621	ENSG00000147274	PLCB1	RBMX	physical
ENSG00000182621	ENSG00000147403	PLCB1	RPL10	physical
ENSG00000182621	ENSG00000149100	PLCB1	EIF3M	physical
ENSG00000182621	ENSG00000149925	PLCB1	ALDOA	physical
ENSG00000182621	ENSG00000150991	PLCB1	UBC	physical
ENSG00000182621	ENSG00000151475	PLCB1	SLC25A31	physical
ENSG00000182621	ENSG00000152234	PLCB1	ATP5A1	physical
ENSG00000182621	ENSG00000156052	PLCB1	GNAQ	physical
ENSG00000182621	ENSG00000156482	PLCB1	RPL30	physical
ENSG00000182621	ENSG00000156976	PLCB1	EIF4A2	physical
ENSG00000159692	ENSG00000182621	CTBP1	PLCB1	physical
ENSG00000182621	ENSG00000160679	PLCB1	CHTOP	physical
ENSG00000182621	ENSG00000161547	PLCB1	SRSF2	physical
ENSG00000182621	ENSG00000162231	PLCB1	NXF1	physical
ENSG00000182621	ENSG00000162244	PLCB1	RPL29	physical
ENSG00000182621	ENSG00000163577	PLCB1	EIF5A2	physical
ENSG00000182621	ENSG00000163682	PLCB1	RPL9	physical
ENSG00000182621	ENSG00000163714	PLCB1	U2SURP	physical
ENSG00000182621	ENSG00000164032	PLCB1	H2AFZ	physical
ENSG00000182621	ENSG00000164104	PLCB1	HMGB2	physical
ENSG00000182621	ENSG00000164111	PLCB1	ANXA5	physical
ENSG00000182621	ENSG00000164708	PLCB1	PGAM2	physical
ENSG00000182621	ENSG00000165119	PLCB1	HNRNPK	physical
ENSG00000182621	ENSG00000165283	PLCB1	STOML2	physical
ENSG00000165494	ENSG00000182621	PCF11	PLCB1	physical
ENSG00000182621	ENSG00000165637	PLCB1	VDAC2	physical
ENSG00000182621	ENSG00000166226	PLCB1	CCT2	physical
ENSG00000182621	ENSG00000166508	PLCB1	MCM7	physical
ENSG00000182621	ENSG00000167088	PLCB1	SNRPD1	physical
ENSG00000182621	ENSG00000167325	PLCB1	RRM1	physical
ENSG00000182621	ENSG00000167815	PLCB1	PRDX2	physical
ENSG00000182621	ENSG00000167863	PLCB1	ATP5H	physical
ENSG00000182621	ENSG00000167881	PLCB1	SRP68	physical
ENSG00000182621	ENSG00000168374	PLCB1	ARF4	physical
ENSG00000182621	ENSG00000169564	PLCB1	PCBP1	physical
ENSG00000182621	ENSG00000170144	PLCB1	HNRNPA3	physical
ENSG00000182621	ENSG00000171314	PLCB1	PGAM1	physical
ENSG00000182621	ENSG00000171497	PLCB1	PPID	physical
ENSG00000182621	ENSG00000172531	PLCB1	PPP1CA	physical
ENSG00000182621	ENSG00000172757	PLCB1	CFL1	physical
ENSG00000182621	ENSG00000174444	PLCB1	RPL4	physical
ENSG00000182621	ENSG00000174748	PLCB1	RPL15	physical
ENSG00000175029	ENSG00000182621	CTBP2	PLCB1	physical
ENSG00000182621	ENSG00000176102	PLCB1	CSTF3	physical
ENSG00000182621	ENSG00000177600	PLCB1	RPLP2	physical
ENSG00000182621	ENSG00000178127	PLCB1	NDUFV2	physical
ENSG00000182621	ENSG00000178982	PLCB1	EIF3K	physical
ENSG00000182621	ENSG00000180879	PLCB1	SSR4	physical
ENSG00000182621	ENSG00000181163	PLCB1	NPM1	physical
ENSG00000182621	ENSG00000182481	PLCB1	KPNA2	physical
ENSG00000182621	ENSG00000184678	PLCB1	HIST2H2BE	physical
ENSG00000182621	ENSG00000184779	PLCB1	RPS17	physical
ENSG00000182621	ENSG00000186432	PLCB1	KPNA4	physical
ENSG00000182621	ENSG00000186468	PLCB1	RPS23	physical
ENSG00000182621	ENSG00000188612	PLCB1	SUMO2	physical
ENSG00000182621	ENSG00000188846	PLCB1	RPL14	physical
ENSG00000182621	ENSG00000189403	PLCB1	HMGB1	physical
ENSG00000182621	ENSG00000196262	PLCB1	PPIA	physical
ENSG00000182621	ENSG00000196531	PLCB1	NACA	physical
ENSG00000182621	ENSG00000196924	PLCB1	FLNA	physical
ENSG00000182621	ENSG00000197111	PLCB1	PCBP2	physical
ENSG00000182621	ENSG00000197451	PLCB1	HNRNPAB	physical
ENSG00000182621	ENSG00000197694	PLCB1	SPTAN1	physical
ENSG00000182621	ENSG00000197903	PLCB1	HIST1H2BK	physical
ENSG00000182621	ENSG00000213619	PLCB1	NDUFS3	physical
ENSG00000182621	ENSG00000215021	PLCB1	PHB2	physical
ENSG00000182621	ENSG00000239672	PLCB1	NME1	physical
ENSG00000182621	ENSG00000240929	PLCB1	HIST2H2BB	physical
ENSG00000182621	ENSG00000256269	PLCB1	HMBS	physical
ENSG00000182621	ENSG00000265681	PLCB1	RPL17	physical
ENSG00000184451	ENSG00000131142	CCR10	CCL25	physical
ENSG00000184451	ENSG00000137077	CCR10	CCL21	physical
ENSG00000184451	ENSG00000156234	CCR10	CXCL13	physical
ENSG00000184451	ENSG00000172724	CCR10	CCL19	physical
ENSG00000204469	ENSG00000184451	PRRC2A	CCR10	physical
ENSG00000186891	ENSG00000056558	TNFRSF18	TRAF1	physical
ENSG00000072201	ENSG00000186891	LNX1	TNFRSF18	physical
ENSG00000186891	ENSG00000127191	TNFRSF18	TRAF2	physical
ENSG00000186891	ENSG00000131323	TNFRSF18	TRAF3	physical
ENSG00000186891	ENSG00000184990	TNFRSF18	SIVA1	physical
ENSG00000196611	ENSG00000005513	MMP1	SOX8	physical
ENSG00000102265	ENSG00000196611	TIMP1	MMP1	physical
ENSG00000196611	ENSG00000132692	MMP1	BCAN	physical
ENSG00000196611	ENSG00000164171	MMP1	ITGA2	physical
ENSG00000172270	ENSG00000196611	BSG	MMP1	physical
ENSG00000205021	ENSG00000160791	CCL3L1	CCR5	physical
ENSG00000205021	ENSG00000163823	CCL3L1	CCR1	physical
ENSG00000205021	ENSG00000183625	CCL3L1	CCR3	physical
ENSG00000006075	ENSG00000006075	CCL3	CCL3	physical
ENSG00000082512	ENSG00000082512	TRAF5	TRAF5	physical
ENSG00000101017	ENSG00000101017	CD40	CD40	physical
ENSG00000107562	ENSG00000107562	CXCL12	CXCL12	physical
ENSG00000108688	ENSG00000108688	CCL7	CCL7	physical
ENSG00000108691	ENSG00000108691	CCL2	CCL2	physical
ENSG00000112964	ENSG00000112964	GHR	GHR	physical
ENSG00000113494	ENSG00000113494	PRLR	PRLR	physical
ENSG00000126561	ENSG00000126561	STAT5A	STAT5A	physical
ENSG00000129277	ENSG00000129277	CCL4	CCL4	physical
ENSG00000163739	ENSG00000163739	CXCL1	CXCL1	physical
ENSG00000167207	ENSG00000167207	NOD2	NOD2	physical
ENSG00000170345	ENSG00000170345	FOS	FOS	physical
ENSG00000182621	ENSG00000182621	PLCB1	PLCB1	physical
ENSG00000186891	ENSG00000186891	TNFRSF18	TNFRSF18	physical
